
 ============================== NEW EXP: acos on laptop ============================== 

Here is an example (from the dev set):
Total examples = 326
Input : one day it just would not power up.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
Output: <aspect> it <category> battery operation_performance <opinion> implied <sentiment> negative</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>

****** Conduct Training ******
Total examples = 326

Validation sanity check: 0it [00:00, ?it/s]
Validation sanity check:  50%|█████     | 1/2 [00:00<00:00,  1.91it/s]
Validation sanity check: 100%|██████████| 2/2 [00:00<00:00,  3.16it/s]
                                                                      
Total examples = 2934
Total examples = 326

Training: 0it [00:00, ?it/s]
Training:   0%|          | 0/204 [00:00<?, ?it/s]
Epoch 1:   0%|          | 0/204 [00:00<?, ?it/s] 
Epoch 1:   0%|          | 1/204 [00:00<02:38,  1.28it/s]
Epoch 1:   0%|          | 1/204 [00:00<02:38,  1.28it/s, loss=18.047, v_num=0]
Epoch 1:   1%|          | 2/204 [00:01<02:15,  1.49it/s, loss=18.047, v_num=0]
Epoch 1:   1%|          | 2/204 [00:01<02:15,  1.49it/s, loss=16.378, v_num=0]
Epoch 1:   1%|▏         | 3/204 [00:01<02:07,  1.58it/s, loss=16.378, v_num=0]
Epoch 1:   1%|▏         | 3/204 [00:01<02:07,  1.58it/s, loss=15.150, v_num=0]
Epoch 1:   2%|▏         | 4/204 [00:02<02:02,  1.63it/s, loss=15.150, v_num=0]
Epoch 1:   2%|▏         | 4/204 [00:02<02:02,  1.63it/s, loss=14.213, v_num=0]
Epoch 1:   2%|▏         | 5/204 [00:03<02:00,  1.66it/s, loss=14.213, v_num=0]
Epoch 1:   2%|▏         | 5/204 [00:03<02:00,  1.66it/s, loss=13.659, v_num=0]
Epoch 1:   3%|▎         | 6/204 [00:03<01:58,  1.68it/s, loss=13.659, v_num=0]
Epoch 1:   3%|▎         | 6/204 [00:03<01:58,  1.68it/s, loss=13.214, v_num=0]
Epoch 1:   3%|▎         | 7/204 [00:04<01:56,  1.68it/s, loss=13.214, v_num=0]
Epoch 1:   3%|▎         | 7/204 [00:04<01:56,  1.68it/s, loss=12.814, v_num=0]
Epoch 1:   4%|▍         | 8/204 [00:04<01:55,  1.69it/s, loss=12.814, v_num=0]
Epoch 1:   4%|▍         | 8/204 [00:04<01:55,  1.69it/s, loss=12.390, v_num=0]
Epoch 1:   4%|▍         | 9/204 [00:05<01:54,  1.70it/s, loss=12.390, v_num=0]
Epoch 1:   4%|▍         | 9/204 [00:05<01:54,  1.70it/s, loss=12.049, v_num=0]
Epoch 1:   5%|▍         | 10/204 [00:05<01:53,  1.71it/s, loss=12.049, v_num=0]
Epoch 1:   5%|▍         | 10/204 [00:05<01:53,  1.71it/s, loss=11.788, v_num=0]
Epoch 1:   5%|▌         | 11/204 [00:06<01:52,  1.71it/s, loss=11.788, v_num=0]
Epoch 1:   5%|▌         | 11/204 [00:06<01:52,  1.71it/s, loss=11.415, v_num=0]
Epoch 1:   6%|▌         | 12/204 [00:06<01:51,  1.71it/s, loss=11.415, v_num=0]
Epoch 1:   6%|▌         | 12/204 [00:06<01:51,  1.71it/s, loss=11.114, v_num=0]
Epoch 1:   6%|▋         | 13/204 [00:07<01:51,  1.72it/s, loss=11.114, v_num=0]
Epoch 1:   6%|▋         | 13/204 [00:07<01:51,  1.72it/s, loss=10.797, v_num=0]
Epoch 1:   7%|▋         | 14/204 [00:08<01:50,  1.72it/s, loss=10.797, v_num=0]
Epoch 1:   7%|▋         | 14/204 [00:08<01:50,  1.72it/s, loss=10.515, v_num=0]
Epoch 1:   7%|▋         | 15/204 [00:08<01:49,  1.73it/s, loss=10.515, v_num=0]
Epoch 1:   7%|▋         | 15/204 [00:08<01:49,  1.73it/s, loss=10.216, v_num=0]
Epoch 1:   8%|▊         | 16/204 [00:09<01:48,  1.73it/s, loss=10.216, v_num=0]
Epoch 1:   8%|▊         | 16/204 [00:09<01:48,  1.73it/s, loss=9.992, v_num=0] 
